TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AltQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4688919287,TRUE,-1,N/A,0,FALSE,4688919287,TRUE,0,FALSE,2181225065,,2181225065,6,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,8,ALB,Albania,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24000,FALSE,30,kg N,24000,FALSE,24000,FALSE,0,FALSE,21047.259,,21047.259,0,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,12,DZA,Algeria,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,962725300,FALSE,30,kg N,429145880,FALSE,962725300,FALSE,0,FALSE,469863438.9,,469863438.9,0,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,31,AZE,Azerbaijan,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,59635220,FALSE,30,kg N,27526390,FALSE,59635220,FALSE,0,FALSE,36498048.26,,36498048.26,0,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,32,ARG,Argentina,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26,FALSE,30,kg N,25,FALSE,26,FALSE,0,FALSE,336.993,,336.993,0,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,70,BIH,Bosnia Herzegovina,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,82743,FALSE,30,kg N,13860,FALSE,82743,FALSE,0,FALSE,50675.415,,50675.415,0,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6161,FALSE,30,kg N,961,FALSE,6161,FALSE,0,FALSE,23838.977,,23838.977,0,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,112,BLR,Belarus,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,86484090,FALSE,30,kg N,26125366,FALSE,86484090,FALSE,0,FALSE,35224323.72,,35224323.72,0,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,124,CAN,Canada,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,633.626,TRUE,30,kg N,307,FALSE,633.626,TRUE,0,FALSE,1732.26,,1732.26,6,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2288936.925,TRUE,30,kg N,1225690,FALSE,2288936.925,TRUE,0,FALSE,1907619.5,,1907619.5,6,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,170,COL,Colombia,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,290652.558,TRUE,30,kg N,136490,FALSE,290652.558,TRUE,0,FALSE,2222002.881,,2222002.881,6,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,268,GEO,Georgia,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27627780.1,TRUE,30,kg N,12792382,FALSE,27627780.1,TRUE,0,FALSE,13443812.52,,13443812.52,6,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,270,GMB,Gambia,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,8,kg,1,FALSE,1,FALSE,0,FALSE,20.101,,20.101,0,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,292,GIB,Gibraltar,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11530,FALSE,30,kg N,5208,FALSE,11530,FALSE,0,FALSE,8313.667,,8313.667,0,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,320,GTM,Guatemala,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,119.466,TRUE,30,kg N,0,FALSE,119.466,TRUE,0,FALSE,55.574,,55.574,6,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,360,IDN,Indonesia,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26224,FALSE,30,kg N,12085,FALSE,26224,FALSE,0,FALSE,49189.1,,49189.1,0,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,M,Import,364,IRN,Iran,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,45960,FALSE,30,kg N,21161,FALSE,45960,FALSE,0,FALSE,16921.76,,16921.76,0,FALSE,TRUE
