TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AltQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,20210101,2021,52,2021,97,EUR,European Union,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1839216412,TRUE,-1,N/A,0,FALSE,1839216412,TRUE,0,FALSE,,613157631.3,613157631.3,6,FALSE,TRUE
C,A,20210101,2021,52,2021,97,EUR,European Union,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,310230,"Fertilizers, mineral or chemical; nitrogenous, ammonium nitrate, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,745872428.2,TRUE,-1,N/A,0,FALSE,745872428.2,TRUE,0,FALSE,,288881160.7,288881160.7,6,FALSE,TRUE
C,A,20210101,2021,52,2021,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,30,kg N,8970862,FALSE,0,FALSE,0,FALSE,0,11749352.04,11749352.04,0,FALSE,TRUE
C,A,20210101,2021,52,2021,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,310230,"Fertilizers, mineral or chemical; nitrogenous, ammonium nitrate, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,161550892,FALSE,30,kg N,51914324,FALSE,161550892,FALSE,0,FALSE,0,50276423.36,50276423.36,0,FALSE,TRUE
C,A,20220101,2022,52,2022,97,EUR,European Union,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1553076238,TRUE,-1,N/A,0,FALSE,1553076238,TRUE,0,FALSE,,1010011576,1010011576,6,FALSE,TRUE
C,A,20220101,2022,52,2022,97,EUR,European Union,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,310230,"Fertilizers, mineral or chemical; nitrogenous, ammonium nitrate, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,709669767,FALSE,-1,N/A,0,FALSE,709669767,FALSE,0,FALSE,,582961956.1,582961956.1,0,FALSE,TRUE
C,A,20220101,2022,52,2022,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,33721166.09,33721166.09,0,FALSE,TRUE
C,A,20220101,2022,52,2022,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,310230,"Fertilizers, mineral or chemical; nitrogenous, ammonium nitrate, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,114620184,FALSE,30,kg N,37257321,FALSE,114620184,FALSE,0,FALSE,,90109816.52,90109816.52,0,FALSE,TRUE
C,A,20230101,2023,52,2023,97,EUR,European Union,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1504348646,TRUE,-1,N/A,0,FALSE,1504348646,TRUE,0,FALSE,,575607814,575607814,6,FALSE,TRUE
C,A,20230101,2023,52,2023,97,EUR,European Union,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,310230,"Fertilizers, mineral or chemical; nitrogenous, ammonium nitrate, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,837294705.3,TRUE,-1,N/A,0,FALSE,837294705.3,TRUE,0,FALSE,,424809354.4,424809354.4,6,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,310210,"Fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,17128056.56,17128056.56,0,FALSE,TRUE
C,A,20230101,2023,52,2023,826,GBR,United Kingdom,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,310230,"Fertilizers, mineral or chemical; nitrogenous, ammonium nitrate, whether or not in aqueous solution",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25698017,FALSE,30,kg N,7616259,FALSE,25698017,FALSE,0,FALSE,,12873264.23,12873264.23,0,FALSE,TRUE
