Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2005,2005,t,211808,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2006,2006,t,210896,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2007,2007,t,190600,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2008,2008,t,178000,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2009,2009,t,200000,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2010,2010,t,220000,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2011,2011,t,225000,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2016,2016,t,254185.54,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2017,2017,t,249391.57,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2018,2018,t,252657.41,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2019,2019,t,217219.69,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2020,2020,t,268987.22,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2021,2021,t,247673.76,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2005,2005,t,30403,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2006,2006,t,27109,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2007,2007,t,22900,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2008,2008,t,30000,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2009,2009,t,30000,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2010,2010,t,20000,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2011,2011,t,18000,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2016,2016,t,47536.06,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2017,2017,t,35495.31,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2018,2018,t,30603.17,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2019,2019,t,22613.16,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2020,2020,t,24430.85,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4001,Urea,2021,2021,t,19053.49,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4006,Urea and ammonium nitrate solutions (UAN),2005,2005,t,2284,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4006,Urea and ammonium nitrate solutions (UAN),2006,2006,t,2097,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4006,Urea and ammonium nitrate solutions (UAN),2007,2007,t,2800,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4006,Urea and ammonium nitrate solutions (UAN),2008,2008,t,3400,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4006,Urea and ammonium nitrate solutions (UAN),2009,2009,t,2000,A,Official figure
RFB,Fertilizers by Product,040,Austria,5157,Agricultural Use,4006,Urea and ammonium nitrate solutions (UAN),2010,2010,t,2200,A,Official figure
